venue,chain,area,status,total_screens,screen,format,projection,sound,seats,width_ft,height_ft,width_cm,height_cm,dimension_confidence,year,notes,source
City Pride Kothrud,City Pride,Kothrud,open,4,Audi 1,standard (big hall),,Dolby Digital 3D,525,,,,,unknown,2001,First multiplex in Maharashtra; Audi 2: 375,punefirst / Excellent Publicity
City Pride Satara Road,City Pride,Market Yard,open,4,Gold Class (Audi 4),luxury mini,,,65,,,,,unknown,~2005,Audi 3: 234; renovation-to-7 claim unverified,Excellent Publicity / Tripadvisor
City Pride R-Deccan,City Pride,JM Rd Deccan,open,2,Screen 1,luxury micro,,,~50,,,,,unknown,~2010,Smallest-screen candidate (micro-plex),punefirst
City Pride Abhiruchi,City Pride,Sinhagad Rd Vadgaon Bk,open,7,Audi 6,standard,,Dolby Digital 3D,315,,,,,unknown,~2011,Screen count 6-7 conflicting,Excellent Publicity
City Pride Mangala,City Pride,Shivajinagar,open,3,all,budget,,,,,,,,unknown,~2005,Ex-Mangala Talkies (1939 roots); 'one of the worst halls in Pune' per reviews — worst-screen candidate,Tripadvisor
City Pride Royal Cinemas Spot 18,City Pride,Pimple Saudagar (PCMC),open,4,all,standard,laser (first City Pride),Atmos (larger screens),817 total,,,,,unknown,2015,,Penworkers / Justdial
City Pride Kharadi,City Pride,Nyati Plaza Kharadi,open,7,Audi 6 Dolby Cinema,Dolby Cinema (India's first),Dual Christie 4K RGB laser Dolby Vision 108 nits HFR,61-ch Atmos + Dolby 3D,310,55,26.2,1676,799,fan-measured,2025,Laser-measured in person by Shrey Tyagi + KDCloudy; 2.1:1 hybrid ratio; best-screen contender,shreytyagi.com / @DheerajD111
City Pride Kharadi,City Pride,Nyati Plaza Kharadi,open,7,Audi 7,standard,4K laser,Atmos,265,,,,,unknown,2025,Audis 1-5: 129/199/199/180/176 no Atmos; 1458 seats total,Film Information / Dolby PR
E-Square University Road,E-Square,Ganeshkhind/Shivajinagar,open,6,Screen 5,standard (big hall),4K projector,Dolby 7.1,584,,,,,unknown,2003,Pune's first multiplex; 584-seat hall among city's largest; ~1384 seats total,Penworkers / Moviebuff
E-Square Xion Mall,E-Square,Hinjawadi Ph1 (PCMC),open,6,all,standard,2K,Atmos (1 audi),~1200 total,,,,,unknown,2015,Reviews report chromatic aberration + screen tear + bad 3D glasses — worst-screen candidate,Penworkers / Tripadvisor
E-Square EPIQ VJ Happiness Street,E-Square,Hinjawadi Ph2 (PCMC),open,5,EPIQ,PLF (1st EPIQ outside South India),Barco RGB 4K laser + Active 3D,64-ch Atmos,310,59,31,1798,945,published,2026,Wall-to-wall 1.89:1; opened Mar 2026; best-screen contender,Film Information / Free Press Journal
Victory Cinema,independent,Camp (East St),open,1,main,single screen,digital,basic,,,,,,unknown,1938,Oldest functioning single screen; 2D only; 'screen not too big sound not very good',LBB / Sahapedia
Rahul 70MM,independent,Shivajinagar,open,2,ground floor,ex-70mm split,,,,,,,,unknown,1966,Famous 'biggest screen in Pune' 70mm hall SPLIT into 2 screens; ground-floor hall still huge,Justdial / cinematimes
Vilux Talkies,independent,Khadki Bazaar,open,1,main,single screen,,,,,,,,unknown,,'Old theatre without proper screen/seats/ventilation' — prime worst-screen candidate,Ticketnew / district.in
Ashok Theatre,independent,Pimpri (PCMC),open,1,main,single screen,,,,,,,,unknown,,Hindi/Bhojpuri/Marathi budget house,Ticketnew
Vasant Cineplex,independent,Budhwar Peth,uncertain,1,main,single screen,,,,,,,,unknown,,Status conflicts between sources — verify,district.in / Bridge Chronicle
Alaka Talkies,Mukta A2 JV,Sadashiv Peth,uncertain,1,main,single screen,,,,,,,,unknown,,Listed on District but 'no shows playing' — dormant?,district.in / Ticketnew
Funsquare Cinema,independent,Pirangut,open,,all,,,,,,,,,unknown,,Fringe venue on District listings,district.in
Prabhat (Kibe Lakshmi),independent,Appa Balwant Chowk,closed 2021,1,main,single screen,,,895,,,,,unknown,,Marathi-only for 40+ years,Punekar News / DNA
Neelayam,independent,Sadashiv Peth,closed,1,main,single screen (70mm era),,,,,,,,unknown,1973,,Bridge Chronicle
Vaibhav Chitramandir,independent,Hadapsar,likely closed,2,,,,,,,,,,unknown,,Was twin; no 3D; conflicting status,Bridge Chronicle / Ticketnew
PVR City One Mall,PVR INOX,Pimpri (PCMC),closed ~2024,5,,,,,911 total,,,,,unknown,2017,,Justdial
INOX Fun N Shop Mall,PVR INOX,Fatima Nagar,closed,,,,,,,,,,,unknown,,,Justdial
Carnival Spine City Mall,Carnival,Moshi (PCMC),closed,,,,,,,,,,,unknown,~2017,Site recycled as Miraj Spine City,Justdial
Carnival Premier Plaza Mall,Carnival,Chinchwad (PCMC),closed,~3,,,,,,,,,,unknown,,Carnival chain collapsed post-COVID,Justdial / Wikipedia
