venue,screen,class,seats,seats_source,width_ft,height_ft,width_cm,height_cm,area_sqft,dimension_confidence,notes
INOX Megaplex Phoenix MoM (Wakad),Premiere 4,standard,165,est,32.1,14.6,978,445,469,model-estimated,2199 total minus premium audis /9
INOX Megaplex Phoenix MoM (Wakad),Premiere 5,standard,165,est,32.1,14.6,978,445,469,model-estimated,2199 total minus premium audis /9
INOX Megaplex Phoenix MoM (Wakad),Premiere 6,standard,165,est,32.1,14.6,978,445,469,model-estimated,2199 total minus premium audis /9
INOX Megaplex Phoenix MoM (Wakad),Premiere 7,standard,165,est,32.1,14.6,978,445,469,model-estimated,2199 total minus premium audis /9
INOX Megaplex Phoenix MoM (Wakad),Premiere 8,standard,165,est,32.1,14.6,978,445,469,model-estimated,2199 total minus premium audis /9
INOX Megaplex Phoenix MoM (Wakad),Premiere 9,standard,165,est,32.1,14.6,978,445,469,model-estimated,2199 total minus premium audis /9
Victory (Camp),Main,single,600,est,32,14.5,975,442,464,estimated,reviews: 'screen not too big'
Rahul 70MM,Upper,single,300,est,32,14.5,975,442,464,estimated,post-split second screen
Vasant (Budhwar Peth),Main,single,500,est,32,14.5,975,442,464,estimated,status uncertain
E-Square University Road,Screen 1,standard,160,est,31.6,14.4,963,439,455,model-estimated,(1384-584)/5
E-Square University Road,Screen 2,standard,160,est,31.6,14.4,963,439,455,model-estimated,(1384-584)/5
E-Square University Road,Screen 3,standard,160,est,31.6,14.4,963,439,455,model-estimated,(1384-584)/5
E-Square University Road,Screen 4,standard,160,est,31.6,14.4,963,439,455,model-estimated,(1384-584)/5
E-Square University Road,Screen 6,standard,160,est,31.6,14.4,963,439,455,model-estimated,(1384-584)/5
Cinepolis Westend (Aundh),Audi 1,standard,155,est,31.1,14.1,948,430,439,model-estimated,(1369-283)/7
Cinepolis Westend (Aundh),Audi 2,standard,155,est,31.1,14.1,948,430,439,model-estimated,(1369-283)/7
Cinepolis Westend (Aundh),Audi 3,standard,155,est,31.1,14.1,948,430,439,model-estimated,(1369-283)/7
Cinepolis Westend (Aundh),Audi 4,standard,155,est,31.1,14.1,948,430,439,model-estimated,(1369-283)/7
Cinepolis Westend (Aundh),Audi 5,standard,155,est,31.1,14.1,948,430,439,model-estimated,(1369-283)/7
Cinepolis Westend (Aundh),Audi 6,standard,155,est,31.1,14.1,948,430,439,model-estimated,(1369-283)/7
Cinepolis Westend (Aundh),Audi 7,standard,155,est,31.1,14.1,948,430,439,model-estimated,(1369-283)/7
Cinepolis Seasons Mall,Audi 1,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 2,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 3,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 4,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 5,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 6,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 7,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 8,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 9,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 10,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 11,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
Cinepolis Seasons Mall,Audi 12,standard,154,est,31.0,14.1,945,430,437,model-estimated,~2000 total
PVR Director's Cut KOPA,Premiere,standard,150,est,30.6,13.9,933,424,425,model-estimated,
PVR Director's Cut KOPA,ICE Theatre,luxury,184,seat-map,33,14,1006,427,462,recalc-from-seatmap,184 seats/11 rows A-L; scope screen + LED side panels
PVR Director's Cut KOPA,Director's Cut 1,luxury,100,est,30.0,13.6,914,415,408,model-estimated,751 total
PVR Director's Cut KOPA,Director's Cut 2,luxury,100,est,30.0,13.6,914,415,408,model-estimated,751 total
PVR Director's Cut KOPA,Director's Cut 3,luxury,100,est,30.0,13.6,914,415,408,model-estimated,751 total
PVR Director's Cut KOPA,Director's Cut 4,luxury,100,est,30.0,13.6,914,415,408,model-estimated,751 total
PVR Director's Cut KOPA,Director's Cut 5,luxury,100,est,30.0,13.6,914,415,408,model-estimated,751 total
PVR Phoenix Marketcity,4DX,standard,130,est,28.5,13.0,869,396,370,model-estimated,
City Pride Kharadi,Audi 1,standard,129,known,28.4,12.9,866,393,366,model-estimated,
Vilux Talkies (Khadki),Main,single,400,est,28,12.7,853,387,356,estimated,'without proper screen'; worst-screen pick
INOX Megaplex Phoenix MoM (Wakad),MX4D,standard,120,est,27.4,12.5,835,381,342,model-estimated,
INOX Megaplex Phoenix MoM (Wakad),Kiddles,standard,90,est,26,11.8,792,360,307,model-estimated,
City Pride Satara Road,Gold Class (Audi 4),luxury,65,known,24.2,11.0,738,335,266,model-estimated,
Connplex Luxuriance Tribeca,Screen 1,luxury,56,est,22.4,10.2,683,311,228,model-estimated,225/4
Connplex Luxuriance Tribeca,Screen 2,luxury,56,est,22.4,10.2,683,311,228,model-estimated,225/4
Connplex Luxuriance Tribeca,Screen 3,luxury,56,est,22.4,10.2,683,311,228,model-estimated,225/4
Connplex Luxuriance Tribeca,Screen 4,luxury,56,est,22.4,10.2,683,311,228,model-estimated,225/4
PVR Phoenix Marketcity,Gold Class,luxury,40,est,22,10.0,671,305,220,model-estimated,
INOX Bund Garden,Insignia 1,luxury,32,known,22,10.0,671,305,220,model-estimated,
INOX Bund Garden,Insignia 2,luxury,32,known,22,10.0,671,305,220,model-estimated,
Cinepolis Seasons Mall,VIP 1,luxury,50,est,22,10.0,671,305,220,model-estimated,
Cinepolis Seasons Mall,VIP 2,luxury,50,est,22,10.0,671,305,220,model-estimated,
Cinepolis Seasons Mall,VIP 3,luxury,50,est,22,10.0,671,305,220,model-estimated,
City Pride R-Deccan,Screen 1,luxury,50,known,22,10.0,671,305,220,model-estimated,micro-plex; smallest-screen candidate
City Pride R-Deccan,Screen 2,luxury,50,est,22,10.0,671,305,220,model-estimated,
